category,total_resumes,skill,frequency,percentage
CONSULTANT,115,conflict resolution,9,7.83
CONSULTANT,115,risk management,8,6.96
CONSULTANT,115,nursing,8,6.96
CONSULTANT,115,php,8,6.96
CONSULTANT,115,ledger,8,6.96
CONSULTANT,115,brand management,7,6.09
CONSULTANT,115,client acquisition,7,6.09
CONSULTANT,115,engine tuning,7,6.09
CONSULTANT,115,safety management,7,6.09
CONSULTANT,115,business analysis,7,6.09
CONSULTANT,115,interviewing,6,5.22
CONSULTANT,115,seo,6,5.22
CONSULTANT,115,call center,6,5.22
CONSULTANT,115,css,6,5.22
CONSULTANT,115,data entry,5,4.35
CONSULTANT,115,menu planning,5,4.35
CONSULTANT,115,event planning,5,4.35
CONSULTANT,115,nutrition planning,5,4.35
CONSULTANT,115,diagnosis,5,4.35
CONSULTANT,115,cpa,5,4.35
CONSULTANT,115,culinary arts,4,3.48
CONSULTANT,115,performance management,4,3.48
CONSULTANT,115,lead generation,4,3.48
CONSULTANT,115,photoshop,4,3.48
CONSULTANT,115,cpr,4,3.48
CONSULTANT,115,ui/ux,4,3.48
CONSULTANT,115,python,4,3.48
CONSULTANT,115,cyber security,4,3.48
CONSULTANT,115,medical records,4,3.48
CONSULTANT,115,pharmacology,4,3.48
CONSULTANT,115,aws,4,3.48
CONSULTANT,115,litigation,3,2.61
CONSULTANT,115,farming,3,2.61
CONSULTANT,115,employee relations,3,2.61
CONSULTANT,115,indesign,3,2.61
CONSULTANT,115,sem,3,2.61
CONSULTANT,115,piloting,3,2.61
CONSULTANT,115,tutoring,3,2.61
CONSULTANT,115,textiles,3,2.61
CONSULTANT,115,surgery,3,2.61
CONSULTANT,115,merchandising,2,1.74
CONSULTANT,115,vehicle diagnostics,2,1.74
CONSULTANT,115,machine learning,2,1.74
CONSULTANT,115,telemarketing,2,1.74
CONSULTANT,115,content creation,2,1.74
CONSULTANT,115,illustrator,2,1.74
CONSULTANT,115,photography,2,1.74
CONSULTANT,115,curriculum development,2,1.74
CONSULTANT,115,onboarding,2,1.74
CONSULTANT,115,kitchen management,2,1.74
CONSULTANT,115,azure,2,1.74
CONSULTANT,115,gaap,2,1.74
CONSULTANT,115,git,2,1.74
CONSULTANT,115,patient care,2,1.74
CONSULTANT,115,electrical circuits,2,1.74
CONSULTANT,115,legal research,1,0.87
CONSULTANT,115,avionics,1,0.87
CONSULTANT,115,food preparation,1,0.87
CONSULTANT,115,tailoring,1,0.87
CONSULTANT,115,devops,1,0.87
CONSULTANT,115,auto repair,1,0.87
CONSULTANT,115,food safety,1,0.87
CONSULTANT,115,nosql,1,0.87
CONSULTANT,115,portfolio management,1,0.87
CONSULTANT,115,strength training,1,0.87
CONSULTANT,115,advocacy,1,0.87
CONSULTANT,115,blueprint reading,1,0.87
CONSULTANT,115,soil science,1,0.87
CONSULTANT,115,partnership development,1,0.87
CONSULTANT,115,legal counsel,1,0.87
CONSULTANT,115,mediation,1,0.87
CONSULTANT,115,angular,1,0.87
CONSULTANT,115,masonry,1,0.87
CONSULTANT,115,matlab,1,0.87
CONSULTANT,115,curating,1,0.87
CONSULTANT,115,process optimization,1,0.87
CONSULTANT,115,typescript,1,0.87
DESIGNER,107,training,76,71.03
DESIGNER,107,sales,54,50.47
DESIGNER,107,photoshop,45,42.06
DESIGNER,107,budgeting,42,39.25
DESIGNER,107,illustrator,39,36.45
DESIGNER,107,marketing,38,35.51
DESIGNER,107,excel,37,34.58
DESIGNER,107,customer support,35,32.71
DESIGNER,107,leadership,32,29.91
DESIGNER,107,sketching,27,25.23
DESIGNER,107,indesign,26,24.3
DESIGNER,107,public speaking,26,24.3
DESIGNER,107,advertising,26,24.3
DESIGNER,107,graphic design,26,24.3
DESIGNER,107,3d modeling,25,23.36
DESIGNER,107,photography,23,21.5
DESIGNER,107,html,23,21.5
DESIGNER,107,compliance,21,19.63
DESIGNER,107,banking,14,13.08
DESIGNER,107,css,14,13.08
DESIGNER,107,strategy,13,12.15
DESIGNER,107,merchandising,12,11.21
DESIGNER,107,brand management,12,11.21
DESIGNER,107,networks,11,10.28
DESIGNER,107,social media,11,10.28
DESIGNER,107,curriculum development,10,9.35
DESIGNER,107,typography,10,9.35
DESIGNER,107,painting,9,8.41
DESIGNER,107,mentoring,9,8.41
DESIGNER,107,solidworks,8,7.48
DESIGNER,107,sql,8,7.48
DESIGNER,107,textiles,7,6.54
DESIGNER,107,blueprint reading,7,6.54
DESIGNER,107,contract drafting,7,6.54
DESIGNER,107,billing,7,6.54
DESIGNER,107,accounting,7,6.54
DESIGNER,107,engine tuning,6,5.61
DESIGNER,107,clinical,6,5.61
DESIGNER,107,event planning,6,5.61
DESIGNER,107,payroll,6,5.61
DESIGNER,107,ui/ux,6,5.61
DESIGNER,107,sap,5,4.67
DESIGNER,107,recruitment,5,4.67
DESIGNER,107,financial analysis,5,4.67
DESIGNER,107,data entry,5,4.67
DESIGNER,107,grading,5,4.67
DESIGNER,107,agile,5,4.67
DESIGNER,107,mechanical design,4,3.74
DESIGNER,107,fashion design,4,3.74
DESIGNER,107,linux,4,3.74
DESIGNER,107,patient care,4,3.74
DESIGNER,107,auditing,4,3.74
DESIGNER,107,electrical circuits,4,3.74
DESIGNER,107,interviewing,4,3.74
DESIGNER,107,crm,4,3.74
DESIGNER,107,kitchen management,4,3.74
DESIGNER,107,market research,4,3.74
DESIGNER,107,nutrition planning,4,3.74
DESIGNER,107,call center,3,2.8
DESIGNER,107,tutoring,3,2.8
DESIGNER,107,piloting,3,2.8
DESIGNER,107,client acquisition,3,2.8
DESIGNER,107,culinary arts,3,2.8
DESIGNER,107,menu planning,3,2.8
DESIGNER,107,media relations,3,2.8
DESIGNER,107,change management,3,2.8
DESIGNER,107,hr policies,3,2.8
DESIGNER,107,medical records,3,2.8
DESIGNER,107,safety management,3,2.8
DESIGNER,107,seo,3,2.8
DESIGNER,107,negotiation,3,2.8
DESIGNER,107,creative direction,3,2.8
DESIGNER,107,tailoring,2,1.87
DESIGNER,107,python,2,1.87
DESIGNER,107,matlab,2,1.87
DESIGNER,107,javascript,2,1.87
DESIGNER,107,technical support,2,1.87
DESIGNER,107,java,2,1.87
DESIGNER,107,php,2,1.87
DESIGNER,107,nursing,2,1.87
DESIGNER,107,cpr,2,1.87
DESIGNER,107,aws,2,1.87
DESIGNER,107,reconciliation,2,1.87
DESIGNER,107,avionics,2,1.87
DESIGNER,107,soil science,2,1.87
DESIGNER,107,farming,2,1.87
DESIGNER,107,curating,2,1.87
DESIGNER,107,site supervision,2,1.87
DESIGNER,107,taxation,2,1.87
DESIGNER,107,video editing,2,1.87
DESIGNER,107,conflict resolution,2,1.87
DESIGNER,107,pharmacology,2,1.87
DESIGNER,107,carpentry,1,0.93
DESIGNER,107,pedagogy,1,0.93
DESIGNER,107,surgery,1,0.93
DESIGNER,107,special education,1,0.93
DESIGNER,107,aerodynamics,1,0.93
DESIGNER,107,crop management,1,0.93
DESIGNER,107,pest control,1,0.93
DESIGNER,107,first aid,1,0.93
DESIGNER,107,classroom management,1,0.93
DESIGNER,107,intellectual property,1,0.93
DESIGNER,107,auto repair,1,0.93
DESIGNER,107,onboarding,1,0.93
DESIGNER,107,stakeholder management,1,0.93
DESIGNER,107,educational technology,1,0.93
DESIGNER,107,sem,1,0.93
DESIGNER,107,plc programming,1,0.93
DESIGNER,107,plating,1,0.93
DESIGNER,107,artificial intelligence,1,0.93
DESIGNER,107,diagnosis,1,0.93
DESIGNER,107,aircraft maintenance,1,0.93
DESIGNER,107,vue,1,0.93
DESIGNER,107,business analysis,1,0.93
DESIGNER,107,vehicle diagnostics,1,0.93
DESIGNER,107,git,1,0.93
DIGITAL-MEDIA,96,training,82,85.42
DIGITAL-MEDIA,96,marketing,75,78.12
DIGITAL-MEDIA,96,sales,65,67.71
DIGITAL-MEDIA,96,social media,57,59.38
DIGITAL-MEDIA,96,strategy,53,55.21
DIGITAL-MEDIA,96,budgeting,51,53.12
DIGITAL-MEDIA,96,advertising,46,47.92
DIGITAL-MEDIA,96,leadership,35,36.46
DIGITAL-MEDIA,96,excel,34,35.42
DIGITAL-MEDIA,96,photoshop,30,31.25
DIGITAL-MEDIA,96,seo,29,30.21
DIGITAL-MEDIA,96,customer support,27,28.12
DIGITAL-MEDIA,96,networks,27,28.12
DIGITAL-MEDIA,96,html,24,25.0
DIGITAL-MEDIA,96,sem,22,22.92
DIGITAL-MEDIA,96,crm,22,22.92
DIGITAL-MEDIA,96,recruitment,20,20.83
DIGITAL-MEDIA,96,illustrator,18,18.75
DIGITAL-MEDIA,96,engine tuning,17,17.71
DIGITAL-MEDIA,96,public speaking,16,16.67
DIGITAL-MEDIA,96,media relations,15,15.62
DIGITAL-MEDIA,96,accounting,15,15.62
DIGITAL-MEDIA,96,financial analysis,15,15.62
DIGITAL-MEDIA,96,brand management,14,14.58
DIGITAL-MEDIA,96,css,14,14.58
DIGITAL-MEDIA,96,contract drafting,13,13.54
DIGITAL-MEDIA,96,billing,12,12.5
DIGITAL-MEDIA,96,lead generation,12,12.5
DIGITAL-MEDIA,96,compliance,12,12.5
DIGITAL-MEDIA,96,mentoring,12,12.5
DIGITAL-MEDIA,96,ui/ux,11,11.46
DIGITAL-MEDIA,96,content creation,11,11.46
DIGITAL-MEDIA,96,market research,10,10.42
DIGITAL-MEDIA,96,sql,10,10.42
DIGITAL-MEDIA,96,photography,10,10.42
DIGITAL-MEDIA,96,javascript,10,10.42
DIGITAL-MEDIA,96,forecasting,10,10.42
DIGITAL-MEDIA,96,event planning,9,9.38
DIGITAL-MEDIA,96,negotiation,9,9.38
DIGITAL-MEDIA,96,banking,9,9.38
DIGITAL-MEDIA,96,indesign,9,9.38
DIGITAL-MEDIA,96,agile,8,8.33
DIGITAL-MEDIA,96,technical support,8,8.33
DIGITAL-MEDIA,96,graphic design,8,8.33
DIGITAL-MEDIA,96,intellectual property,7,7.29
DIGITAL-MEDIA,96,php,7,7.29
DIGITAL-MEDIA,96,sap,6,6.25
DIGITAL-MEDIA,96,hr policies,6,6.25
DIGITAL-MEDIA,96,interviewing,6,6.25
DIGITAL-MEDIA,96,merchandising,6,6.25
DIGITAL-MEDIA,96,piloting,6,6.25
DIGITAL-MEDIA,96,auditing,5,5.21
DIGITAL-MEDIA,96,payroll,5,5.21
DIGITAL-MEDIA,96,conflict resolution,4,4.17
DIGITAL-MEDIA,96,diagnosis,4,4.17
DIGITAL-MEDIA,96,data entry,4,4.17
DIGITAL-MEDIA,96,video editing,4,4.17
DIGITAL-MEDIA,96,taxation,4,4.17
DIGITAL-MEDIA,96,electrical circuits,4,4.17
DIGITAL-MEDIA,96,cyber security,3,3.12
DIGITAL-MEDIA,96,portfolio management,3,3.12
DIGITAL-MEDIA,96,client acquisition,3,3.12
DIGITAL-MEDIA,96,litigation,3,3.12
DIGITAL-MEDIA,96,artificial intelligence,3,3.12
DIGITAL-MEDIA,96,sketching,3,3.12
DIGITAL-MEDIA,96,onboarding,3,3.12
DIGITAL-MEDIA,96,git,3,3.12
DIGITAL-MEDIA,96,change management,3,3.12
DIGITAL-MEDIA,96,quickbooks,3,3.12
DIGITAL-MEDIA,96,ledger,3,3.12
DIGITAL-MEDIA,96,clinical,2,2.08
DIGITAL-MEDIA,96,tutoring,2,2.08
DIGITAL-MEDIA,96,textiles,2,2.08
DIGITAL-MEDIA,96,devops,2,2.08
DIGITAL-MEDIA,96,risk management,2,2.08
DIGITAL-MEDIA,96,painting,2,2.08
DIGITAL-MEDIA,96,performance management,2,2.08
DIGITAL-MEDIA,96,cpa,2,2.08
DIGITAL-MEDIA,96,call center,2,2.08
DIGITAL-MEDIA,96,curriculum development,2,2.08
DIGITAL-MEDIA,96,pharmacology,2,2.08
DIGITAL-MEDIA,96,aws,1,1.04
DIGITAL-MEDIA,96,azure,1,1.04
DIGITAL-MEDIA,96,medical records,1,1.04
DIGITAL-MEDIA,96,employee relations,1,1.04
DIGITAL-MEDIA,96,menu planning,1,1.04
DIGITAL-MEDIA,96,safety management,1,1.04
DIGITAL-MEDIA,96,reconciliation,1,1.04
DIGITAL-MEDIA,96,talent acquisition,1,1.04
DIGITAL-MEDIA,96,mediation,1,1.04
DIGITAL-MEDIA,96,angular,1,1.04
DIGITAL-MEDIA,96,machine learning,1,1.04
DIGITAL-MEDIA,96,nutrition planning,1,1.04
DIGITAL-MEDIA,96,culinary arts,1,1.04
DIGITAL-MEDIA,96,curating,1,1.04
DIGITAL-MEDIA,96,telemarketing,1,1.04
DIGITAL-MEDIA,96,python,1,1.04
DIGITAL-MEDIA,96,business analysis,1,1.04
DIGITAL-MEDIA,96,java,1,1.04
DIGITAL-MEDIA,96,strength training,1,1.04
DIGITAL-MEDIA,96,linux,1,1.04
DIGITAL-MEDIA,96,grading,1,1.04
ENGINEERING,118,training,104,88.14
ENGINEERING,118,leadership,49,41.53
ENGINEERING,118,excel,41,34.75
ENGINEERING,118,budgeting,38,32.2
ENGINEERING,118,electrical circuits,34,28.81
ENGINEERING,118,compliance,30,25.42
ENGINEERING,118,sales,26,22.03
ENGINEERING,118,3d modeling,25,21.19
ENGINEERING,118,technical support,24,20.34
ENGINEERING,118,customer support,23,19.49
ENGINEERING,118,mentoring,20,16.95
ENGINEERING,118,sql,19,16.1
ENGINEERING,118,networks,19,16.1
ENGINEERING,118,sketching,18,15.25
ENGINEERING,118,agile,16,13.56
ENGINEERING,118,engine tuning,16,13.56
ENGINEERING,118,marketing,16,13.56
ENGINEERING,118,matlab,16,13.56
ENGINEERING,118,solidworks,15,12.71
ENGINEERING,118,java,15,12.71
ENGINEERING,118,html,14,11.86
ENGINEERING,118,strategy,14,11.86
ENGINEERING,118,plc programming,14,11.86
ENGINEERING,118,linux,14,11.86
ENGINEERING,118,forecasting,13,11.02
ENGINEERING,118,recruitment,12,10.17
ENGINEERING,118,intellectual property,12,10.17
ENGINEERING,118,contract drafting,12,10.17
ENGINEERING,118,mechanical design,11,9.32
ENGINEERING,118,banking,11,9.32
ENGINEERING,118,python,11,9.32
ENGINEERING,118,sap,11,9.32
ENGINEERING,118,public speaking,10,8.47
ENGINEERING,118,diagnosis,10,8.47
ENGINEERING,118,billing,9,7.63
ENGINEERING,118,auditing,8,6.78
ENGINEERING,118,javascript,8,6.78
ENGINEERING,118,accounting,8,6.78
ENGINEERING,118,data entry,8,6.78
ENGINEERING,118,blueprint reading,7,5.93
ENGINEERING,118,safety management,7,5.93
ENGINEERING,118,ui/ux,7,5.93
ENGINEERING,118,machine learning,6,5.08
ENGINEERING,118,css,6,5.08
ENGINEERING,118,piloting,6,5.08
ENGINEERING,118,strength training,6,5.08
ENGINEERING,118,risk management,6,5.08
ENGINEERING,118,video editing,5,4.24
ENGINEERING,118,php,5,4.24
ENGINEERING,118,carpentry,5,4.24
ENGINEERING,118,painting,5,4.24
ENGINEERING,118,vehicle diagnostics,5,4.24
ENGINEERING,118,reconciliation,4,3.39
ENGINEERING,118,tutoring,4,3.39
ENGINEERING,118,git,4,3.39
ENGINEERING,118,financial analysis,4,3.39
ENGINEERING,118,clinical,4,3.39
ENGINEERING,118,change management,4,3.39
ENGINEERING,118,photography,4,3.39
ENGINEERING,118,first aid,4,3.39
ENGINEERING,118,payroll,4,3.39
ENGINEERING,118,grading,3,2.54
ENGINEERING,118,cyber security,3,2.54
ENGINEERING,118,plating,3,2.54
ENGINEERING,118,taxation,3,2.54
ENGINEERING,118,avionics,3,2.54
ENGINEERING,118,event planning,3,2.54
ENGINEERING,118,sem,3,2.54
ENGINEERING,118,kitchen management,3,2.54
ENGINEERING,118,brake systems,3,2.54
ENGINEERING,118,auto repair,2,1.69
ENGINEERING,118,lesson planning,2,1.69
ENGINEERING,118,nosql,2,1.69
ENGINEERING,118,aws,2,1.69
ENGINEERING,118,curriculum development,2,1.69
ENGINEERING,118,performance management,2,1.69
ENGINEERING,118,crm,2,1.69
ENGINEERING,118,ledger,2,1.69
ENGINEERING,118,soil science,2,1.69
ENGINEERING,118,call center,2,1.69
ENGINEERING,118,quickbooks,2,1.69
ENGINEERING,118,deep learning,2,1.69
ENGINEERING,118,cpr,2,1.69
ENGINEERING,118,employee relations,2,1.69
ENGINEERING,118,hr policies,2,1.69
ENGINEERING,118,sculpting,1,0.85
ENGINEERING,118,litigation,1,0.85
ENGINEERING,118,food safety,1,0.85
ENGINEERING,118,react,1,0.85
ENGINEERING,118,portfolio management,1,0.85
ENGINEERING,118,advocacy,1,0.85
ENGINEERING,118,kyc,1,0.85
ENGINEERING,118,pharmacology,1,0.85
ENGINEERING,118,nutrition planning,1,0.85
ENGINEERING,118,negotiation,1,0.85
ENGINEERING,118,ruby,1,0.85
ENGINEERING,118,medical records,1,0.85
ENGINEERING,118,gaap,1,0.85
ENGINEERING,118,aircraft maintenance,1,0.85
ENGINEERING,118,aerodynamics,1,0.85
ENGINEERING,118,culinary arts,1,0.85
ENGINEERING,118,advertising,1,0.85
ENGINEERING,118,client acquisition,1,0.85
ENGINEERING,118,conflict resolution,1,0.85
ENGINEERING,118,cpa,1,0.85
ENGINEERING,118,talent acquisition,1,0.85
ENGINEERING,118,market research,1,0.85
ENGINEERING,118,interviewing,1,0.85
ENGINEERING,118,mediation,1,0.85
ENGINEERING,118,azure,1,0.85
ENGINEERING,118,photoshop,1,0.85
ENGINEERING,118,illustrator,1,0.85
ENGINEERING,118,indesign,1,0.85
ENGINEERING,118,automotive engineering,1,0.85
FINANCE,117,financial analysis,117,100.0
FINANCE,117,accounting,97,82.91
FINANCE,117,training,94,80.34
FINANCE,117,budgeting,88,75.21
FINANCE,117,sales,75,64.1
FINANCE,117,excel,62,52.99
FINANCE,117,auditing,61,52.14
FINANCE,117,banking,61,52.14
FINANCE,117,forecasting,59,50.43
FINANCE,117,taxation,55,47.01
FINANCE,117,reconciliation,54,46.15
FINANCE,117,compliance,54,46.15
FINANCE,117,payroll,52,44.44
FINANCE,117,leadership,51,43.59
FINANCE,117,billing,46,39.32
FINANCE,117,ledger,44,37.61
FINANCE,117,marketing,41,35.04
FINANCE,117,customer support,34,29.06
FINANCE,117,contract drafting,33,28.21
FINANCE,117,strategy,33,28.21
FINANCE,117,sap,24,20.51
FINANCE,117,gaap,22,18.8
FINANCE,117,recruitment,22,18.8
FINANCE,117,quickbooks,21,17.95
FINANCE,117,cpa,20,17.09
FINANCE,117,negotiation,19,16.24
FINANCE,117,hr policies,18,15.38
FINANCE,117,public speaking,18,15.38
FINANCE,117,risk management,13,11.11
FINANCE,117,advertising,12,10.26
FINANCE,117,networks,10,8.55
FINANCE,117,data entry,10,8.55
FINANCE,117,mentoring,9,7.69
FINANCE,117,interviewing,8,6.84
FINANCE,117,business analysis,7,5.98
FINANCE,117,sql,7,5.98
FINANCE,117,crm,7,5.98
FINANCE,117,social media,6,5.13
FINANCE,117,photoshop,5,4.27
FINANCE,117,employee relations,5,4.27
FINANCE,117,client acquisition,4,3.42
FINANCE,117,merchandising,4,3.42
FINANCE,117,clinical,4,3.42
FINANCE,117,litigation,4,3.42
FINANCE,117,call center,4,3.42
FINANCE,117,technical support,3,2.56
FINANCE,117,performance management,3,2.56
FINANCE,117,menu planning,3,2.56
FINANCE,117,photography,3,2.56
FINANCE,117,change management,3,2.56
FINANCE,117,curriculum development,3,2.56
FINANCE,117,kyc,2,1.71
FINANCE,117,market research,2,1.71
FINANCE,117,first aid,2,1.71
FINANCE,117,html,2,1.71
FINANCE,117,farming,2,1.71
FINANCE,117,conflict resolution,2,1.71
FINANCE,117,intellectual property,2,1.71
FINANCE,117,agile,2,1.71
FINANCE,117,stakeholder management,2,1.71
FINANCE,117,piloting,2,1.71
FINANCE,117,media relations,2,1.71
FINANCE,117,nutrition planning,2,1.71
FINANCE,117,pharmacology,2,1.71
FINANCE,117,java,1,0.85
FINANCE,117,yoga,1,0.85
FINANCE,117,electrical circuits,1,0.85
FINANCE,117,carpentry,1,0.85
FINANCE,117,content creation,1,0.85
FINANCE,117,event planning,1,0.85
FINANCE,117,painting,1,0.85
FINANCE,117,aerodynamics,1,0.85
FINANCE,117,tutoring,1,0.85
FINANCE,117,patient care,1,0.85
FINANCE,117,food preparation,1,0.85
FINANCE,117,strength training,1,0.85
FINANCE,117,safety management,1,0.85
FINANCE,117,legal research,1,0.85
FINANCE,117,legal counsel,1,0.85
FINANCE,117,php,1,0.85
FINANCE,117,surgery,1,0.85
FINANCE,117,aml,1,0.85
FINANCE,117,grading,1,0.85
FINANCE,117,seo,1,0.85
FINANCE,117,sem,1,0.85
FINANCE,117,brand management,1,0.85
FINANCE,117,indesign,1,0.85
FINANCE,117,portfolio management,1,0.85
FINANCE,117,illustrator,1,0.85
FINANCE,117,graphic design,1,0.85
FITNESS,117,training,107,91.45
FITNESS,117,sales,78,66.67
FITNESS,117,customer support,65,55.56
FITNESS,117,leadership,59,50.43
FITNESS,117,cpr,44,37.61
FITNESS,117,marketing,42,35.9
FITNESS,117,personal training,40,34.19
FITNESS,117,budgeting,36,30.77
FITNESS,117,nutrition planning,36,30.77
FITNESS,117,first aid,32,27.35
FITNESS,117,excel,32,27.35
FITNESS,117,payroll,28,23.93
FITNESS,117,recruitment,27,23.08
FITNESS,117,compliance,24,20.51
FITNESS,117,strength training,21,17.95
FITNESS,117,billing,21,17.95
FITNESS,117,accounting,21,17.95
FITNESS,117,strategy,17,14.53
FITNESS,117,social media,16,13.68
FITNESS,117,contract drafting,16,13.68
FITNESS,117,mentoring,16,13.68
FITNESS,117,public speaking,15,12.82
FITNESS,117,advertising,14,11.97
FITNESS,117,interviewing,13,11.11
FITNESS,117,banking,11,9.4
FITNESS,117,conflict resolution,11,9.4
FITNESS,117,nursing,11,9.4
FITNESS,117,clinical,11,9.4
FITNESS,117,hr policies,11,9.4
FITNESS,117,yoga,10,8.55
FITNESS,117,auditing,10,8.55
FITNESS,117,curriculum development,10,8.55
FITNESS,117,kinesiology,9,7.69
FITNESS,117,financial analysis,9,7.69
FITNESS,117,surgery,9,7.69
FITNESS,117,networks,9,7.69
FITNESS,117,patient care,8,6.84
FITNESS,117,medical records,8,6.84
FITNESS,117,negotiation,7,5.98
FITNESS,117,merchandising,6,5.13
FITNESS,117,pharmacology,6,5.13
FITNESS,117,reconciliation,6,5.13
FITNESS,117,call center,6,5.13
FITNESS,117,data entry,6,5.13
FITNESS,117,forecasting,6,5.13
FITNESS,117,diagnosis,5,4.27
FITNESS,117,menu planning,5,4.27
FITNESS,117,risk management,5,4.27
FITNESS,117,event planning,5,4.27
FITNESS,117,quickbooks,5,4.27
FITNESS,117,taxation,5,4.27
FITNESS,117,client acquisition,5,4.27
FITNESS,117,litigation,4,3.42
FITNESS,117,safety management,4,3.42
FITNESS,117,photoshop,4,3.42
FITNESS,117,crm,4,3.42
FITNESS,117,ledger,4,3.42
FITNESS,117,mediation,4,3.42
FITNESS,117,advocacy,3,2.56
FITNESS,117,brand management,3,2.56
FITNESS,117,technical support,3,2.56
FITNESS,117,agile,3,2.56
FITNESS,117,photography,3,2.56
FITNESS,117,market research,3,2.56
FITNESS,117,vehicle diagnostics,2,1.71
FITNESS,117,electrical circuits,2,1.71
FITNESS,117,piloting,2,1.71
FITNESS,117,intellectual property,2,1.71
FITNESS,117,kitchen management,2,1.71
FITNESS,117,lesson planning,2,1.71
FITNESS,117,tutoring,2,1.71
FITNESS,117,employee relations,2,1.71
FITNESS,117,sap,2,1.71
FITNESS,117,media relations,2,1.71
FITNESS,117,performance management,2,1.71
FITNESS,117,illustrator,2,1.71
FITNESS,117,irrigation,1,0.85
FITNESS,117,brake systems,1,0.85
FITNESS,117,change management,1,0.85
FITNESS,117,sketching,1,0.85
FITNESS,117,3d modeling,1,0.85
FITNESS,117,special education,1,0.85
FITNESS,117,sculpting,1,0.85
FITNESS,117,gcp,1,0.85
FITNESS,117,python,1,0.85
FITNESS,117,sql,1,0.85
FITNESS,117,linux,1,0.85
FITNESS,117,solidworks,1,0.85
FITNESS,117,matlab,1,0.85
FITNESS,117,mechanical design,1,0.85
FITNESS,117,plc programming,1,0.85
FITNESS,117,portfolio management,1,0.85
FITNESS,117,blueprint reading,1,0.85
FITNESS,117,farming,1,0.85
FITNESS,117,classroom management,1,0.85
FITNESS,117,soil science,1,0.85
HEALTHCARE,115,training,102,88.7
HEALTHCARE,115,leadership,58,50.43
HEALTHCARE,115,compliance,56,48.7
HEALTHCARE,115,customer support,55,47.83
HEALTHCARE,115,clinical,55,47.83
HEALTHCARE,115,sales,51,44.35
HEALTHCARE,115,excel,42,36.52
HEALTHCARE,115,billing,40,34.78
HEALTHCARE,115,nursing,40,34.78
HEALTHCARE,115,marketing,39,33.91
HEALTHCARE,115,budgeting,36,31.3
